"RefDes","Name","Value","Pattern","Manufacturer","Quantity","Datasheet"
"3pin5mm1","1935174","3pin5mm","3pin5mm","Phoenix Contact","1",""
"3pin5mm2","1935174","3pin5mm","3pin5mm","Phoenix Contact","1",""
"C1","CAP_0805","4.7uF","CAP_0805","","1",""
"C2","CAP_0805","47uF","CAP_0805","","1",""
"D1","DIODE","1N4001","DO-35","","1",""
"F1","FUSE F1206A2R00FWTR\500","","RES_1206","AVX","1",""
"J1","PJ-002B","","PJ-002B","CUI","1",""
"K1","G5LE-14-DC5","","G5LE","Omron","1",""
"K2","G5LE-14-DC5","","G5LE","Omron","1",""
"LED1","SML-LXT0805IW-TR","","DIO_0805","Lumex","1",""
"LED2","SML-LXT0805IW-TR","","DIO_0805","Lumex","1",""
"OC1","VO617A","","DIP-4","Vishay Semiconductors","1",""
"OC2","VO617A","","DIP-4","Vishay Semiconductors","1",""
"Q1","2N2222","","TO-18","Central Semiconductor","1",""
"Q2","2N2222","","TO-18","Central Semiconductor","1",""
"R1","RES_0805","390 ohm","RES_0805","","1",""
"R2","RES_0805","180 ohm","RES_0805","","1",""
"R3","RES_0805","390 ohm","RES_0805","","1",""
"R4","RES_0805","180 ohm","RES_0805","","1",""
"U1","chip_dip_2","2x20_header","HDR-2x20","","1",""
"U2","MMBD4148","","MMBD4148","Fairchild Semiconductor","1",""
"U3","MMBD4148","","MMBD4148","Fairchild Semiconductor","1",""
"U4","chip_dip","2x20_header","HDR-2x20","","1",""
"U5","OKI-78SR-5/1.5-W36H-C","","OKI-78SR-5/1.5-W36H-C","","1",""
